user_name,text,link
bluesky80808,"김경수-드루킹의 댓글조작, 문재인의 울산시장 선거개입,..온갖 더러운 짓 다 하면서 깨끗한 척 위선떠는 문재인 정권과 민주당! 고민정 미친년 설령 당선돼도 무효! 선관위,총선 전날 주민자치위원의 지지 선언을 동의없이 공보물에 올린 고민정 후보 선거법위반 수사 의뢰 ",https://twitter.com/bluesky80808/status/1250212226285199361
k2k815,"#재난지원금 산정기준은 아부와 무능, 무책임의 끝판 = 약간의 재난피해계층 지원 재스처+보이고 싶은 지표들의 효과+ 비난받고 싶지 않는 소심함 + 관료들에 대한 아부 = 목적을 상실한 죽도 밥도 아닌 개탕 + 무책임성 #손석희 #문재인 #강일원 #유시민 #유승민 #안철수 #윤석열 #박영선 #한국은행",https://twitter.com/k2k815/status/1250212170865840128
ff14_mangyu,너 누구지지하냐 문재인이요,https://twitter.com/ff14_mangyu/status/1250212115144564736
boatmanjohnny,문재인 대통령과 이낙연 총리가 사랑받는 이유는 진보적 가치를 외치되 태도는 예의바른 보수기 때문이다 싸가지 없으면 옳은 소리도 개소리로 판단해버리는 한국사회에서 두분의 정치력과 행동하시는 모습은 최적의 모션이다 머리는 뛰어난 진보적 가치로! 태도는 예의바른 보수로! ,https://twitter.com/boatmanjohnny/status/1250212030386262018
wjdemd670,"악마들 악마 윤석열과 그 일당들을 속히 일망타진하라 악마 윤석열 배신자 윤석열 악마 윤석열을 파면 구속하라 문재인 정부를 뒤엎으려는 쿠데타 윤석열 , 국민을 속인 악마 윤석열은 나라의 녹을 먹어서는 안되는 파렴치한 인간말종입니다 윤석열을 포함한 일가 사기단을 모두 구속 수사하라 ",https://twitter.com/wjdemd670/status/1250211980855488512
gurumann3,문재인 역사에 기록 될 엄청난 수법 https://youtu.be/fkI8N0SKom0 @YouTube 님이 공유,https://twitter.com/gurumann3/status/1250211926266667008
VmvN26mxI4N34oi,그놈의 과적배 해상교통사고 세월호의 진실 운운하는 등신들아 느그 이니가 밝힐게 없다잖아 민주당이랑 문재인한테 선거용으로 이용당한걸 아직도 모르고 열린당을 믿어보겠다니 정신적으로 좀 많이 모자란 사람 아니면 여론선동하는 조선족 짱깨 알바가 분명,https://twitter.com/VmvN26mxI4N34oi/status/1250211733177655297
Jongwook_Yu,투표하러갑니다. 나도 문재인에게 속아서 표를 줬지만 이번엔 아닙니다. 전 국민을 잠시 속이는 것은 가능하지만 전 국민을 영원히 속이는 것은 불가능하다. - 아브라함 링컨,https://twitter.com/Jongwook_Yu/status/1250211575731867648
nannana1232,(다반뉴스) 조국 딸 의혹 양심선언 터졌다!!! 문재인 탄핵으로 가는 중대한 상황!!! / 신의한수 19.08.22 - 우파 - 우투 - https://utu.kr/politics_right/6068239,https://twitter.com/nannana1232/status/1250211437462478848
Beshl, 저는 1교시 끝나고 도시락 먹었습니다. 아직 도시락 못드신분들 도시락 드시러 얼른가세요. 총선 도시락 먹을수 있는 기회는 오늘까지 입니다. 그것도 문재인대통령님이 정성스럽게 준비해주신 도시락은 이번이 마지막이에요. 맛있게 드시고 오세요.^^ ,https://twitter.com/Beshl/status/1250211277131177986
